epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3353,2.31269,5.01276,2.68212,0.35551,0.66787,0.39031,0.16862,2.48182,4.98157,3.06557,0.000552832,0.000552832,0.000552832
2,123.314,2.11512,3.00883,2.50138,0.48732,0.74763,0.49334,0.23618,2.0157,3.74997,2.68708,0.00108655,0.00108655,0.00108655
3,177.377,2.07457,2.88503,2.45846,0.3624,0.59166,0.36055,0.13791,2.6012,3.75827,3.29739,0.00159826,0.00159826,0.00159826
4,232.664,2.05701,2.77213,2.45678,0.50558,0.83497,0.53989,0.26767,1.88814,3.05877,2.54375,0.00156798,0.00156798,0.00156798
5,288.986,2.01991,2.65323,2.37845,0.48418,0.84322,0.5274,0.26138,2.02437,3.08402,2.64417,0.00153497,0.00153497,0.00153497
6,342.884,2.00025,2.622,2.37569,0.43331,0.67654,0.4987,0.22306,2.19483,3.07025,2.82349,0.00150197,0.00150197,0.00150197
7,395.45,1.97134,2.56743,2.38922,0.50916,0.86828,0.55421,0.26138,2.07848,3.29672,2.72184,0.00146896,0.00146896,0.00146896
8,448.444,1.96206,2.52562,2.36165,0.54026,0.86774,0.57751,0.29468,1.98246,2.89522,2.57581,0.00143595,0.00143595,0.00143595
9,502.857,1.93709,2.48129,2.36042,0.54114,0.90065,0.57088,0.29544,1.92151,2.5831,2.52574,0.00140295,0.00140295,0.00140295
10,556.82,1.92799,2.45954,2.31848,0.5333,0.81711,0.56228,0.27667,1.99614,2.76521,2.64298,0.00136994,0.00136994,0.00136994
11,608.642,1.91832,2.45429,2.33456,0.54436,0.86632,0.58174,0.30355,1.87656,2.62501,2.49342,0.00133693,0.00133693,0.00133693
12,660.657,1.93093,2.40557,2.31041,0.55096,0.87518,0.59019,0.31573,1.88939,2.59505,2.49025,0.00130393,0.00130393,0.00130393
13,713.537,1.90501,2.39821,2.30106,0.54359,0.89632,0.5865,0.31066,1.8641,2.66795,2.48817,0.00127092,0.00127092,0.00127092
14,765.548,1.88926,2.35915,2.29137,0.54521,0.89221,0.58841,0.31406,1.8902,2.68716,2.51767,0.00123791,0.00123791,0.00123791
15,817.35,1.88617,2.39508,2.29241,0.53845,0.92706,0.59486,0.32044,1.79801,2.87536,2.41205,0.00120491,0.00120491,0.00120491
16,870.183,1.86765,2.35638,2.26678,0.55214,0.88226,0.58826,0.31741,1.85044,2.7389,2.47558,0.0011719,0.0011719,0.0011719
17,921.75,1.85977,2.3087,2.27928,0.55286,0.89855,0.5986,0.31859,1.83693,2.6114,2.44453,0.00113889,0.00113889,0.00113889
18,974.363,1.85987,2.31473,2.27524,0.53953,0.91208,0.58722,0.29692,1.90687,2.76845,2.49506,0.00110589,0.00110589,0.00110589
19,1026.94,1.84021,2.32222,2.24838,0.54996,0.89533,0.57805,0.30783,1.83967,2.63898,2.45088,0.00107288,0.00107288,0.00107288
20,1077.77,1.84788,2.32362,2.25175,0.55785,0.92504,0.60045,0.32561,1.81092,2.57314,2.41222,0.00103987,0.00103987,0.00103987
21,1129.88,1.85249,2.31741,2.25974,0.54198,0.84992,0.58597,0.31268,1.83526,2.71641,2.46914,0.00100687,0.00100687,0.00100687
22,1184.72,1.84043,2.25997,2.2565,0.5564,0.87985,0.60146,0.32231,1.89083,2.45049,2.48705,0.000973861,0.000973861,0.000973861
23,1237.99,1.81971,2.26757,2.23722,0.54476,0.90818,0.58703,0.32005,1.82667,2.61052,2.43609,0.000940855,0.000940855,0.000940855
24,1290.73,1.82584,2.2597,2.24712,0.57028,0.8929,0.60415,0.32786,1.83224,2.45365,2.41934,0.000907848,0.000907848,0.000907848
25,1346.44,1.82009,2.23239,2.22127,0.5386,0.92309,0.58131,0.32181,1.82134,2.57257,2.43221,0.000874842,0.000874842,0.000874842
26,1400.23,1.81701,2.20991,2.22752,0.55407,0.90797,0.60352,0.32954,1.79712,2.49171,2.41763,0.000841835,0.000841835,0.000841835
27,1454.05,1.80164,2.21518,2.2143,0.55479,0.92572,0.60985,0.33779,1.79843,2.47671,2.41503,0.000808828,0.000808828,0.000808828
28,1507.25,1.80315,2.22336,2.2137,0.54665,0.91567,0.59579,0.32761,1.81331,2.56776,2.41839,0.000775822,0.000775822,0.000775822
29,1560.86,1.7871,2.17314,2.21178,0.54279,0.93814,0.60331,0.32741,1.84471,2.59097,2.42548,0.000742815,0.000742815,0.000742815
30,1616.95,1.79688,2.17338,2.20524,0.55362,0.86292,0.59181,0.32328,1.80719,2.5561,2.41459,0.000709809,0.000709809,0.000709809
31,1670.97,1.78659,2.13808,2.20869,0.55205,0.91697,0.59934,0.33211,1.8129,2.43329,2.41055,0.000676802,0.000676802,0.000676802
32,1725.44,1.79133,2.13912,2.212,0.55764,0.89512,0.61675,0.3325,1.81309,2.58308,2.42789,0.000643795,0.000643795,0.000643795
33,1777.43,1.78936,2.15007,2.20465,0.54839,0.93526,0.61017,0.3389,1.78144,2.48359,2.37562,0.000610789,0.000610789,0.000610789
34,1829.6,1.77184,2.09468,2.18977,0.55569,0.91201,0.60664,0.34426,1.74645,2.5192,2.36752,0.000577782,0.000577782,0.000577782
35,1882.24,1.77868,2.11783,2.20364,0.54992,0.90182,0.5952,0.32935,1.79884,2.55272,2.38203,0.000544776,0.000544776,0.000544776
36,1938.08,1.76258,2.10173,2.18247,0.55335,0.91312,0.59005,0.32855,1.77687,2.50292,2.38191,0.000511769,0.000511769,0.000511769
37,1990.19,1.75088,2.0855,2.1734,0.55273,0.92135,0.60079,0.33578,1.77595,2.45394,2.38334,0.000478762,0.000478762,0.000478762
38,2042,1.75318,2.05931,2.18597,0.55462,0.91555,0.59732,0.33685,1.81374,2.47406,2.39791,0.000445756,0.000445756,0.000445756
39,2094.59,1.76926,2.09854,2.18938,0.55724,0.91535,0.59801,0.33618,1.78216,2.49526,2.38097,0.000412749,0.000412749,0.000412749
40,2149.87,1.76316,2.05144,2.18271,0.54586,0.92009,0.58814,0.33195,1.7903,2.53373,2.38629,0.000379743,0.000379743,0.000379743
41,2204.81,1.75,1.92508,2.36539,0.56062,0.92503,0.60894,0.33834,1.77905,2.46272,2.37923,0.000346736,0.000346736,0.000346736
42,2256.2,1.74297,1.88288,2.35693,0.55726,0.89446,0.60972,0.34077,1.80443,2.44636,2.4106,0.000313729,0.000313729,0.000313729
43,2307.28,1.73226,1.84909,2.3393,0.5545,0.90992,0.59847,0.33289,1.77715,2.47415,2.36514,0.000280723,0.000280723,0.000280723
44,2359.45,1.73027,1.8493,2.33301,0.55521,0.92957,0.60463,0.34216,1.7791,2.49134,2.36443,0.000247716,0.000247716,0.000247716
45,2411.75,1.72542,1.81116,2.32931,0.55942,0.89175,0.61023,0.34158,1.80866,2.40381,2.39182,0.00021471,0.00021471,0.00021471
46,2463.51,1.71108,1.80848,2.32065,0.56304,0.87712,0.60831,0.33767,1.79988,2.41197,2.37587,0.000181703,0.000181703,0.000181703
47,2515.8,1.70979,1.79045,2.31967,0.56276,0.90238,0.61569,0.34539,1.80174,2.41656,2.38289,0.000148696,0.000148696,0.000148696
48,2568.62,1.70247,1.7688,2.32033,0.56209,0.90635,0.60007,0.33195,1.81453,2.42145,2.38771,0.00011569,0.00011569,0.00011569
49,2622.11,1.70385,1.76053,2.31617,0.55424,0.91331,0.60359,0.33544,1.81239,2.3983,2.39065,8.26832e-05,8.26832e-05,8.26832e-05
50,2674.2,1.69047,1.74917,2.30473,0.55494,0.90334,0.60353,0.33348,1.8174,2.41578,2.39359,4.96766e-05,4.96766e-05,4.96766e-05
