epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6701,3.73709,8.4836,3.55986,0.03156,0.06115,0.01321,0.00326,3.80574,8.07595,3.78976,0.000552082,0.000552082,0.000552082
2,101.206,3.67316,6.19193,3.37149,0.03331,0.09294,0.01207,0.00295,3.87417,9.06734,3.71791,0.00108581,0.00108581,0.00108581
3,150.105,3.56768,5.92296,3.31746,0.05987,0.13133,0.01455,0.00384,3.97344,12.703,4.07987,0.00159754,0.00159754,0.00159754
4,197.637,3.53047,5.79537,3.24332,0.05091,0.1217,0.01659,0.00451,3.7079,8.80139,3.64847,0.00156798,0.00156798,0.00156798
5,243.426,3.42598,5.63681,3.17903,0.04557,0.12111,0.01944,0.00509,3.74231,7.41176,3.76027,0.00153497,0.00153497,0.00153497
6,289.122,3.39361,5.5747,3.1252,0.06795,0.13374,0.03165,0.0089,3.39121,6.34583,3.3098,0.00150197,0.00150197,0.00150197
7,337.417,3.33066,5.4451,3.06686,0.08266,0.14539,0.03525,0.00941,3.5771,9.10749,3.58106,0.00146896,0.00146896,0.00146896
8,384.713,3.26975,5.34035,3.05555,0.06932,0.17191,0.03638,0.01034,3.36874,6.56176,3.31981,0.00143595,0.00143595,0.00143595
9,431.773,3.23236,5.31284,3.02058,0.10401,0.14933,0.04618,0.01329,3.27673,9.2349,3.29313,0.00140295,0.00140295,0.00140295
10,478.508,3.25221,5.26118,3.01629,0.08048,0.10417,0.03431,0.01026,3.37444,6.35983,3.20171,0.00136994,0.00136994,0.00136994
11,524.67,3.22193,5.23899,2.99015,0.06907,0.15161,0.03704,0.01076,3.28567,6.51936,3.14515,0.00133693,0.00133693,0.00133693
12,570.655,3.22088,5.18493,2.96012,0.10483,0.14889,0.05001,0.01478,3.33601,6.61057,3.17595,0.00130393,0.00130393,0.00130393
13,615.308,3.18281,5.15724,2.93695,0.11111,0.15224,0.05622,0.01633,3.24084,6.37906,3.11489,0.00127092,0.00127092,0.00127092
14,659.301,3.16183,5.12115,2.94196,0.08434,0.14626,0.03748,0.01099,3.24261,6.28194,3.17621,0.00123791,0.00123791,0.00123791
15,705.233,3.15159,5.05908,2.91664,0.10356,0.15,0.04636,0.01307,3.22899,6.37562,3.14172,0.00120491,0.00120491,0.00120491
16,749.854,3.10463,5.07021,2.85827,0.11406,0.19435,0.06027,0.01722,3.14967,6.37876,3.02644,0.0011719,0.0011719,0.0011719
17,794.646,3.08131,4.95021,2.8452,0.11513,0.15157,0.05696,0.01739,3.1443,5.89589,3.05523,0.00113889,0.00113889,0.00113889
