epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.7634,2.5257,5.22481,3.00999,0.44483,0.24987,0.23007,0.09685,2.53083,4.79627,2.97312,0.000663978,0.000663978,0.000663978
2,147.812,2.35799,4.2122,2.77612,0.32018,0.2718,0.16706,0.06305,2.53778,5.22484,3.12998,0.00131183,0.00131183,0.00131183
3,215.785,2.34815,4.09031,2.79821,0.50402,0.26271,0.26155,0.10708,2.43381,4.82273,2.96914,0.00194082,0.00194082,0.00194082
4,282.428,2.29142,3.94142,2.73788,0.19794,0.17924,0.09252,0.03411,2.53857,6.16411,3.12842,0.00191514,0.00191514,0.00191514
5,350.283,2.25952,3.80109,2.69703,0.46331,0.25789,0.24639,0.10176,2.4416,4.83754,3.02764,0.00188686,0.00188686,0.00188686
6,417.3,2.23818,3.81062,2.68844,0.52724,0.29963,0.32505,0.13813,2.34825,4.10456,2.88766,0.00185857,0.00185857,0.00185857
7,485.115,2.23491,3.72877,2.65581,0.53218,0.26538,0.27689,0.12241,2.36641,4.45941,2.9454,0.00183029,0.00183029,0.00183029
8,552.105,2.1982,3.65151,2.63939,0.5421,0.30337,0.31782,0.13464,2.41172,4.03487,2.92958,0.001802,0.001802,0.001802
9,619.638,2.18527,3.6398,2.61798,0.36197,0.26966,0.2272,0.08331,2.48838,4.66032,3.12331,0.00177371,0.00177371,0.00177371
10,687.369,2.17571,3.58762,2.61079,0.55252,0.32156,0.35742,0.15057,2.34194,3.84488,2.87311,0.00174543,0.00174543,0.00174543
11,754.247,2.15697,3.53808,2.5761,0.63054,0.33601,0.38443,0.16244,2.3194,3.73113,2.76601,0.00171714,0.00171714,0.00171714
12,821.972,2.15749,3.52978,2.56661,0.56079,0.36062,0.38856,0.16131,2.3434,3.71274,2.84073,0.00168886,0.00168886,0.00168886
13,888.519,2.13542,3.50532,2.57264,0.41304,0.34082,0.25873,0.1085,2.32774,4.07195,2.91828,0.00166057,0.00166057,0.00166057
14,955.517,2.13189,3.46764,2.56343,0.57071,0.34617,0.38013,0.16472,2.27935,3.68872,2.80676,0.00163229,0.00163229,0.00163229
15,1023.6,2.12578,3.45264,2.55404,0.56604,0.33708,0.37085,0.16371,2.28014,3.72223,2.79351,0.001604,0.001604,0.001604
