epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0985,2.57283,4.79762,3.2452,0.35923,0.22407,0.15388,0.06501,2.82564,5.41122,3.74358,0.000663978,0.000663978,0.000663978
2,179.111,2.45499,4.28511,3.09875,0.15349,0.19636,0.08807,0.0313,2.63819,7.96661,3.39896,0.00131183,0.00131183,0.00131183
3,264.021,2.41591,4.21367,3.0499,0.56442,0.24826,0.24738,0.10287,2.45248,5.19051,3.24346,0.00194082,0.00194082,0.00194082
4,347.166,2.33799,4.04306,2.94862,0.49555,0.22632,0.22283,0.07906,2.71762,4.94736,3.47772,0.00191514,0.00191514,0.00191514
5,430.024,2.30663,3.92533,2.91257,0.51273,0.28357,0.27737,0.10979,2.42428,4.96723,3.18286,0.00188686,0.00188686,0.00188686
6,514.059,2.25653,3.88925,2.88639,0.53729,0.27501,0.30495,0.13216,2.38165,4.49045,3.11331,0.00185857,0.00185857,0.00185857
7,596.602,2.23943,3.76353,2.82606,0.56579,0.28464,0.32119,0.13697,2.33533,4.10006,3.10078,0.00183029,0.00183029,0.00183029
8,679.904,2.21045,3.71605,2.80085,0.37993,0.23407,0.22225,0.08921,2.54248,4.81166,3.33009,0.001802,0.001802,0.001802
9,761.555,2.19564,3.69166,2.79263,0.59738,0.31278,0.35097,0.15256,2.36381,3.90139,3.0314,0.00177371,0.00177371,0.00177371
10,843.984,2.16826,3.59564,2.75195,0.55669,0.33708,0.36312,0.15524,2.29315,3.80134,3.05576,0.00174543,0.00174543,0.00174543
11,926.649,2.16499,3.5741,2.72612,0.5702,0.32638,0.35696,0.15138,2.35205,3.86607,3.08415,0.00171714,0.00171714,0.00171714
12,1009.46,2.15362,3.53446,2.712,0.5693,0.35099,0.38273,0.16091,2.2998,3.76402,3.00542,0.00168886,0.00168886,0.00168886
13,1093.61,2.14522,3.50309,2.70554,0.49965,0.34724,0.37172,0.16597,2.23383,3.68281,2.91456,0.00166057,0.00166057,0.00166057
